,Brand Name,Name of the Product,Price,Return/Exchange,Expected Delivery,Availability,Product URL
0,ASIAN,"ASIAN Men's Thar-04 Sports Running,Walking & Gym Shoes with Eva Sole Extra Jump Casual Sneaker Shoes for Men's & Boy's…",₹474.00,30 Days Returns & Exchange,"FREE delivery Sunday, 27 November on first order Or fastest delivery Saturday, 26 November. Order within 2 hrs 30 mins","FREE delivery Sunday, 27 November on first order. Or fastest delivery Saturday, 26 November. Order within 2 hrs 30 mins. ",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjEwOTAyNDU1MTI2NDAxOjE2NjkzMDU1NTk6c3BfYXRmOjIwMDc1MjcxMjE5ODk4OjowOjo&url=%2FASIAN-Future-01-White-Running-Shoes%2Fdp%2FB09YHGRQ12%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dshoes%26qid%3D1669305559%26qu%3DeyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,ASIAN,"ASIAN Men's Newton-09 Sports Running,Walking & Gym Shoes with SoleFlex Technology Casual Sneaker Shoes for Men's & Boy's",₹578.00,30 Days Returns & Exchange,"FREE delivery Saturday, 26 November Or fastest delivery Tomorrow, November 25. Order within 14 hrs 50 mins","FREE delivery Saturday, 26 November. Or fastest delivery Tomorrow, November 25. Order within 14 hrs 50 mins. ",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjEwOTAyNDU1MTI2NDAxOjE2NjkzMDU1NTk6c3BfYXRmOjIwMDc2OTgzODI1Mjk4OjowOjo&url=%2FASIAN-Newton-09-Running-SoleFlex-Technology%2Fdp%2FB0B7S6193W%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dshoes%26qid%3D1669305559%26qu%3DeyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,Bourge,Bourge Mens Loire-z-168 Running Shoe,₹702.30,30 Days Returns & Exchange,"FREE delivery Sunday, 27 November Or fastest delivery Saturday, 26 November. Order within 2 hrs 30 mins","FREE delivery Sunday, 27 November. Or fastest delivery Saturday, 26 November. Order within 2 hrs 30 mins. ",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjEwOTAyNDU1MTI2NDAxOjE2NjkzMDU1NTk6c3BfYXRmOjIwMDk2MzM2Nzc1Nzk4OjowOjo&url=%2FBourge-Loire-z-168-Running-Shoes-Silver%2Fdp%2FB09GPQN33K%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dshoes%26qid%3D1669305559%26qu%3DeyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
3,Avant,AVANT Men's Nitro Running and Gym Shoes - Grey/Black,₹649.00,30 Days Returns & Exchange,"FREE delivery Tuesday, 29 November","FREE delivery Tuesday, 29 November. ",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjEwOTAyNDU1MTI2NDAxOjE2NjkzMDU1NTk6c3BfYXRmOjIwMDk3MTk0NjAwNjk4OjowOjo&url=%2FAvant-Mens-Nitro-Running-Shoes%2Fdp%2FB07VPVWWG6%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dshoes%26qid%3D1669305559%26qu%3DeyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
4,Campus,Campus Men's OXYFIT (N) Walking Shoe,₹679.00,30 Days Returns & Exchange,"FREE delivery Sunday, 27 November Or fastest delivery Saturday, 26 November. Order within 2 hrs 29 mins","FREE delivery Sunday, 27 November. Or fastest delivery Saturday, 26 November. Order within 2 hrs 29 mins. ",https://www.amazon.in/Campus-OXYFIT-Walking-Shoes-India/dp/B09RPM4KCG/ref=sr_1_5?keywords=shoes&qid=1669305559&qu=eyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9&sr=8-5
5,Campus,Campus Men's Maxico Running Shoes,₹649.00,30 Days Returns & Exchange,"FREE delivery Monday, 28 November. Order within 14 mins","FREE delivery Monday, 28 November. Order within 14 mins. ",https://www.amazon.in/Campus-Maxico-Running-Shoes-India/dp/B08WCLDJYZ/ref=sr_1_omk_6?keywords=shoes&qid=1669305559&qu=eyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9&sr=8-6
6,Campus,Campus Men's First Running Shoes,"₹1,329.00",30 Days Returns & Exchange,"FREE delivery Wednesday, 30 November Or fastest delivery Tuesday, 29 November","FREE delivery Wednesday, 30 November. Or fastest delivery Tuesday, 29 November. ",https://www.amazon.in/Campus-First-L-Gry-Running-Shoes/dp/B08WPM5D99/ref=sr_1_7?keywords=shoes&qid=1669305559&qu=eyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9&sr=8-7
7,Bourge,Bourge Mens Vega-z5 Running Shoes,₹799.00,30 Days Returns & Exchange,"FREE delivery Saturday, 26 November Or fastest delivery Tomorrow, November 25. Order within 1 hr 39 mins","FREE delivery Saturday, 26 November. Or fastest delivery Tomorrow, November 25. Order within 1 hr 39 mins. ",https://www.amazon.in/Bourge-Vega-11-Running-Shoes-6-Vega-11-06/dp/B0883LTK9C/ref=sxin_15_slsr_d_i_fs4star_fa_1_B0883LTK9C?content-id=amzn1.sym.86f966cb-cf80-4eda-a765-89e42fae403a%3Aamzn1.sym.86f966cb-cf80-4eda-a765-89e42fae403a&cv_ct_cx=shoes&keywords=shoes&pd_rd_i=B0883LTK9C&pd_rd_r=e9367728-fb30-49f5-b1b5-cb054687abe0&pd_rd_w=IAzYi&pd_rd_wg=b9Yjj&pf_rd_p=86f966cb-cf80-4eda-a765-89e42fae403a&pf_rd_r=RDJDRPNT5R9N6Z948A3E&psc=1&qid=1669305559&qu=eyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9&sr=1-1-41e0d225-3819-4755-898e-7f0f48633b47
8,Bourge,Bourge Mens Loire-z1 Running Shoes,₹697.21,30 Days Returns & Exchange,"FREE delivery Saturday, 26 November Or fastest delivery Tomorrow, November 25. Order within 1 hr 39 mins","FREE delivery Saturday, 26 November. Or fastest delivery Tomorrow, November 25. Order within 1 hr 39 mins. ",https://www.amazon.in/Bourge-Loire-1-Running-Shoes-6-Loire-1-Grey-06/dp/B07LF6R71L/ref=sxin_15_slsr_d_i_fs4star_fa_3_B07LF6R71L?content-id=amzn1.sym.86f966cb-cf80-4eda-a765-89e42fae403a%3Aamzn1.sym.86f966cb-cf80-4eda-a765-89e42fae403a&cv_ct_cx=shoes&keywords=shoes&pd_rd_i=B07LF6R71L&pd_rd_r=e9367728-fb30-49f5-b1b5-cb054687abe0&pd_rd_w=IAzYi&pd_rd_wg=b9Yjj&pf_rd_p=86f966cb-cf80-4eda-a765-89e42fae403a&pf_rd_r=RDJDRPNT5R9N6Z948A3E&psc=1&qid=1669305559&qu=eyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9&sr=1-2-41e0d225-3819-4755-898e-7f0f48633b47
9,ASIAN,"ASIAN F-04 Running Shoes,Gym Shoes,Training Shoes,Walking Shoes,Sports Shoes for Men",₹448.00,30 Days Returns & Exchange,"FREE delivery Sunday, 27 November on first order Or fastest delivery Saturday, 26 November. Order within 2 hrs 28 mins","FREE delivery Sunday, 27 November on first order. Or fastest delivery Saturday, 26 November. Order within 2 hrs 28 mins. ",https://www.amazon.in/Asian-shoes-Firozy-Sports-Shoes/dp/B06Y2H21FT/ref=sxin_15_slsr_d_i_fs4star_fa_4_B06Y2H21FT?content-id=amzn1.sym.86f966cb-cf80-4eda-a765-89e42fae403a%3Aamzn1.sym.86f966cb-cf80-4eda-a765-89e42fae403a&cv_ct_cx=shoes&keywords=shoes&pd_rd_i=B06Y2H21FT&pd_rd_r=e9367728-fb30-49f5-b1b5-cb054687abe0&pd_rd_w=IAzYi&pd_rd_wg=b9Yjj&pf_rd_p=86f966cb-cf80-4eda-a765-89e42fae403a&pf_rd_r=RDJDRPNT5R9N6Z948A3E&psc=1&qid=1669305559&qu=eyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9&sr=1-3-41e0d225-3819-4755-898e-7f0f48633b47
